City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
270,Umtata,ZA,-31.59,28.78,48.2,57,39,12.75,scattered clouds,0.0,0
271,Pendleton,US,45.67,-118.79,81.0,30,1,3.36,clear sky,0.0,0
272,Talnakh,RU,69.49,88.4,48.2,93,90,13.42,mist,0.0,0
273,Ekhabi,RU,53.51,142.97,50.99,91,100,1.97,overcast clouds,0.0,0
274,Klaksvik,FO,62.23,-6.59,51.8,93,94,4.7,mist,0.0,0
275,Bubaque,GW,11.28,-15.83,79.72,85,100,21.05,moderate rain,2.17,0
276,Bathsheba,BB,13.22,-59.52,84.2,79,75,18.34,shower rain,0.0,0
277,Dunedin,NZ,-45.87,170.5,51.01,77,100,6.64,moderate rain,1.02,0
278,Rawson,AR,-43.3,-65.1,46.99,51,0,31.68,clear sky,0.0,0
279,Santarem,BR,-2.44,-54.71,87.8,66,20,10.29,few clouds,0.0,0
280,Ulagan,RU,50.63,87.96,51.37,82,97,1.7,overcast clouds,0.0,0
281,Oistins,BB,13.07,-59.53,84.2,79,75,18.34,shower rain,0.0,0
282,Manzanillo,CU,20.34,-77.12,87.75,61,100,5.03,light rain,0.86,0
283,Mansoa,GW,12.07,-15.32,77.0,94,75,5.82,moderate rain,0.0,0
284,Almaznyy,RU,48.04,40.05,77.0,31,0,8.95,clear sky,0.0,0
285,Tambopata,PE,-12.73,-69.18,82.4,65,20,5.82,few clouds,0.0,0
286,Buchanan,LR,5.88,-10.05,78.8,78,75,5.82,broken clouds,0.0,0
287,Altamont,US,42.21,-121.74,82.0,27,1,6.93,clear sky,0.0,0
288,Cabo San Lucas,MX,22.89,-109.91,90.0,55,40,10.29,scattered clouds,0.0,0
289,Bengkulu,ID,-3.8,102.27,76.08,87,30,3.94,scattered clouds,0.0,0
290,Saint-Pierre,RE,-21.34,55.48,68.0,77,20,8.05,few clouds,0.0,0
291,Le Port,RE,-20.94,55.29,68.0,82,75,17.22,broken clouds,0.0,0
292,Benalla,AU,-36.55,145.98,44.6,100,90,1.12,overcast clouds,0.0,0
293,Sakakah,SA,29.97,40.21,98.6,11,0,12.75,clear sky,0.0,0
294,Quang Ngai,VN,15.12,108.8,76.87,86,96,3.62,overcast clouds,0.0,0
295,Padilla,CO,3.22,-76.31,80.6,61,75,4.7,broken clouds,0.0,0
